NEW SESSION,NUMERO,FECHA,HORA,SEDE,MAPS,FOTO,,
TRUE,VII,28/05,20:00,AGER'S,https://maps.app.goo.gl/c1AmaFbHZVjgU1727,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ACTIVA,SESION,FECHA,SEDE,RESPONSABLE,PELICULA,RATING,INCIDENCIAS,CARPETA_FOTOS
TRUE,I,13/11,AGER'S,DAVID,BIG TROUBLE IN LITTLE CHINA,"2,5/5",FLATULENCIAS LEVES,I
TRUE,II,21/12,GUILLE'S,ELI,EL SACRIFICIO,"3,5/5",NADA RELEVANTE,II
TRUE,III,30/01,ALVARITO'S,DANI,TANK GIRL,"3,7/5",SE CANTO EL HIMNO,III
TRUE,IV,27/02,JERI'S,DAILO,IRONS SKY,"3,5/5",CUMPLE JERI,IV
TRUE,V,26/03,ELI'S,ELI,THRASHING,4/5,PRIMER DOBLETE,V
TRUE,VI,24/04,ALVARITO'S,GUILLE,DOGMA,4/5,TENEMOS CAMISETAS!,VI
TRUE,VII,28/05,AGER'S,,,,,